movieName;Metascore_w;diff;Author;Summary
stolen;8;5;Tss5078;"[ ""When you watch a lot of independent and direct-to-video films, you see a lot of garbage, but occasionally you find a gem that makes it all worthwhile, Stolen, is one of those gems. This story was so intriguing and well written that I was absolutely blown away. The film is about a detective whose son went missing, without a trace, eight years ago. The trail is cold and he's beginning to accept that he will never find him, when a local construction crew finds a boy in a box. The body has been there for at least fifty years, but the case awakens something in the detective who has to learn the truth. From there, quite ingeniously, the film is divided into three different stories, the story of the boy in the box, the detectives investigation, and the story of his own child. It was seriously like watching three different movies at once, and they were all great! The cast was pretty phenomenal too, as this was a very hard thing to pull off, but they did it seemingly with ease. Josh Lucas just blew my mind, giving an unrivaled performance as the father of the other missing boy. I've seen him in things before, but nothing was as memorable as this. Stolen is a film that consists of three stories in once, that will pull on your emotions and have you on the edge of your seat. It's one of the best films I've seen all year and I can't recommend it enough!"" ]"
date-night;4;1;Tss5078;"[ ""Despite an all-star cast, that reads like a who's who of comedians, the much anticipated, Date Night, from Night At The Museum Director, Shawn Levy, failed to deliver in a big way. Of course there is that old saying about too many cooks in the kitchen, but that wasn't the problem here, as individually, the performances were pretty good. What I didn't like about the film, was a lazy story that hasn't only been done before, but seemed to just run around in circles. The Foster family is going through your typical dry spell as a married couple with kids, and the news of a recent friends divorce has them worried about their own relationship, so they decide to start having a regular date night again. Not wanting to wait at a fancy restaurant without a reservation, they claim to be someone else, who are very late arriving to their reserved table. The Foster's think they're just stealing a reservation, instead they are stepping into the lives of two people who are wanted by many different people for many different things, leading to the wildest night of their lives. This story had some great potential, but once again, if these writers would stop worrying about PG-13 vs. R, in regards to who will go see their films, and just let the story take off in whatever direction it's going, the film could have been so much better. Instead, the writers hold back, because they don't want a raunchy comedy, they want a date movie, and the result is a mediocre comedy that should have been so much better than it was. Date Night is good for a chuckle here and there, but otherwise, the story goes in circles, it's predictable, and it wastes the talent of a terrific cast."" ]"
youth-in-revolt;7;4;Tss5078;"[ ""Michael Cera has to be the gayest man in America. He is so awkward in these romantic comedies, that he actually comes across as loveable. It is by shear talent that he thrives in these types of movies and that they become as good as they are. In order to be with his new girlfriend, Nick Twisp (Cera), needs to get kicked out of his house. Through a hidden persona he didn't know he had, he gets his wish, and that's when the adventure really begins. This movie makes up for a story that's been done, by throwing everything they've got at you. There are a ton of cameos, one liners, strange twists, mushrooms, and even some animation. Romantic comedies, definitely not my thing, but Youth In Revolt is something different. The writer really goes out of his way to make his simple story and his ordinary character something special. It actually turned out to be a pretty entertaining movie."" ]"
edge-of-darkness;7;4;Tss5078;"[ ""Edge of Darkness is a dark and gritty crime thriller, based on a 1986 British Mini-series of the same name. The story was actually pretty good, filled with twists, turns, crosses, and double crosses, but the problem was that it was all too familiar. Murdered daughter, angry father looking for justice, Mel Gibson on a crazy rampage....and why are these things always in Boston? Does Hollywood have some secret underground bet about who will have the worst accent? That being said, Gibson, (minus the accent), was terrific. Say what you will about him as a person, but when it comes to a dark, action thriller, there is still no one better than Mel Gibson. His character was very reminiscent of Porter in Payback, intense, strong, and smart as a whip. As I said before, this is a good story, made even better by Gibson, but it's a familiar story that's been done to death! Edge of Darkness is very entertaining and has some nice twists, but ultimately it's not much different from a dozen other films with a similar tagline."" ]"
from-paris-with-love;7;4;Tss5078;"[ ""From Paris With Love plays as though it were the fourth or fifth sequel in a legendary saga, that has reached it's end and is just milking another film out of the story. It's adequate and somewhat entertaining, but nowhere near as good as it should have been. Jonathan Rhys-Meyers stars a a junior C.I.A. agent, working out of the U.S. Embassy in Paris. Until now he's been asked to do simple things. His role quickly changes once and international terror cell sets up shop in his backyard. Rhys-Meyers is quickly paired with a veteran C.I.A. hit-man. The kind of guy you call when you want things done quickly and under the radar, but years of killing has taken it's toll. The mysterious man has become cold and reckless to a fault. The story here is painfully predictable, in a film that is about half as long as it should have been. Yes, the film is basically non-stop action, but it moves in such a way that the story is rushed to the point of confusion. Jonathan Rhys-Meyers was terrific in an opposites attract kind of way. John Travolta on the other hand was much too old and out of shape to be believable as this crazy, over the top hit-man. The chemistry between the two and the amazing non-stop action make this movie a pretty entertaining one, but the predictability and rushed story take too much away to make it the kind of film that keeps audiences buzzing after it's over."" ]"
daybreakers;8;5;Tss5078;"[ ""I hate vampire movies! From Dracula to Twilight I find the whole genre absurd and have never enjoyed a film that has featured vampires, until now. I chose Daybreakers, because it is a new idea in an otherwise stale genre. It's about a modern day utopian society where the bad guys have actually won! Modern society has adapted, from industry and technology to entertainment, to accommodate a society run by vampires. Humans are nearly extinct and the vampires are looking for a blood substitute to sustain their population. On the other side, the small groups of remaining humans think they may have a cure, but need some willing vampires to help them. Even though this film features vampires, it's more of a science fiction film. about two groups trying to deal with the problems of a futuristic society, and it was really well done. Ethan Hawke stars as a vampire, who refuses to drink human blood. He feels empathy for the humans and doesn't like what his race has become. Hawke was one of these young actors who had nothing but looks. When he first started he was really nothing more than eye candy for bad movies. Since then, he's really worked at becoming a better actor and today, he thrives in Sci-Fi movies like this. He's paired with some veterans of the genre, Willem Dafoe and Sam Neill, both of whom add that aged wisdom needed to support this young cast. This film is a terrific example of how innovative and entertaining science fiction can be, but it's so much more. There are action scenes, romance, and even some gore thrown into the mix, and the result is one of the best Sci-Fi film I've seen all year. The violence and blood may turn some people off to the film, but for me, this really became a can't miss gem."" ]"
whiteout;7;4;Tss5078;"[ ""When I first saw the previews for Whiteout, I didn't think it would be anything special. It wasn't until Netflix recommended it for me and I read the description, that I thought there might be something there. While the previews made it look like some arctic nightmare, the truth is that it was a pretty great film. The story is centered around a U.S. Marshall, stationed at the base in Antarctica. For more than 3 years, she didn't really have much to do, but that all changed when two base members are found murdered. It then becomes Carrie Stetko's job to solve the first murders in the continents history. Despite a lack of other people and places to go, the writers of this film did an excellent job at keeping this movie intriguing. I didn't think in a million years that a film like this would work, but actually it works out really well, and unlike a similar story, Fargo, the producers of Whiteout hold nothing back. Kate Beckinsale stars and really does a fantastic job. I've always like her abilities, not to mention the way she looks, but this film is the first time her performance really stood out to me as something special, maybe she should consider playing a cop more often. As someone who's seen thousands of films, it always amazes me how the films I expect the least from, always deliver the biggest surprises. Whiteout is pure intensity, not to mention, a great mystery, that is absolutely worth seeing."" ]"
the-book-of-eli;5;2;Tss5078;"[ ""This movie had the right idea, but left far to many unanswered questions. I was expecting a lot more based on the previews and descriptions, but I was left with a film that was not unique. Denzel Washington was amazing as usual, but sadly, overall, The Book of Eli wasn't anything special. Just another tale about the world will end one day and reveal what savage beasts we truly are."" ]"
moon;4;1;Tss5078;"[ ""Sam Rockwell gives an Oscar worthy performance in an otherwise dark and mediocre film. I can see what the director was aiming for, but he missed the mark big time. The story was decent enough, but the movie was very slow and extremely predictable. The performance of Rockwell, was his best performance to date, however it was wasted on what i thought was a pretty dull movie."" ]"
saw-vi;8;5;Tss5078;[]
shutter-island;8;5;Tss5078;"[ ""\""Is it better to live as a monster or to die as a good man?\"" That is the last line in this mind bending thriller from Martin Scorsese. It perfectly describes this film, which I can honestly say is one of the smartest and most savvy films I have ever seen. Leonardo DiCaprio gives his best performance to date. I've seen a lot of DiCaprio, since Titanic, we all have, and this is by far the best he's ever been. How he didn't win an Academy Award for this role is beyond me! The story is very strong and very smart. It's evident that they took their time with this one, in order to get every detail right. The ending is of course the best part. It leaves you scratching your head, going over everything you've just seen and keeps you thinking for hours. No matter how many times you see this movie, you'll always pick up on something new, each and every time. It was an amazing movie and I can't recommend it enough!"" ]"
adventureland;5;2;Tss5078;"[ ""From the Director who brought us Paul and Superbad, comes Adventureland, which unfortunately is just another predictable, run of the mill comedy. Jesse Eisenberg stars as a kid whose forced to get a summer job at a local amusement park with a wacky cast of characters. Of course the only other normal one working there, just happens to be the girl that he falls for. Bill Hader plays the boss and he should be writing and starring in films like this instead of playing secondary characters. Hader is one of the funniest and most underrated comedians in Hollywood and I can honestly say that he is the only reason to watch this movie, because the rest of the cast is just dull and uninspired. Eisenberg gives another flat and emotionless performance, while co-star Kristen Stewart plays along as if she were still one of the undead. I generally like most of the cast and I thought the story was decent, but overall Adventureland is just another predictable lame duck comedy. It will give you a few laughs, but don't expect too much more."" ]"
observe-and-report;4;1;Tss5078;"[ ""Observe and Report is a great film, if you're 12 years old and find the obsessive use of the 'F' word funny. I usually love Seth Rogan, I think he's one of the best comedic actors out there, but unfortunately every actor is going to have a few misses. Observe and Report is one of those films that just doesn't cut it. In the film, Seth Rogan plays Ronnie Barnhardt, who is the equivalent of Paul Blart on a bad trip. He's a mall cop, who is obsessed with his job and with the hot girl who works the make-up counter at the local department store. Literally the only funny part of this movie is the flasher, that Ronnie is trying to catch. It's simplistic humor, but a man running around a mall, flashing his penis at people, and making dirty comments is funny! The rest of this film is not, as it's one big racist, childish, romp, through a world of sex, drugs, and the abuse of power. Rogan is terrific, but his character was a rambling, confused, uneducated guy, that just wears on every last nerve. Observe and Report is a film that has been done, many times and in many different ways. The producers hoped that an all-star cast would help the film, but sadly it doesn't. The film plays as though it was written by a teenager, and all that's missing is the fart jokes. I'm a big Seth Rogan fan, but I was sadly disappointed by this film."" ]"
12-rounds;8;5;Tss5078;"[ ""If this movie didn't star a WWE Superstar, a lot more people would have seen this! It's a beat the clock thriller from the director of Die Hard and was a million times better than I thought it would be. John Cena defiantly shows a marked improvement from The Marine, no doubt thanks to Renny Harlin. Yes, it's a WWE film, staring a WWE wrestler, but it's one hell of an action thriller!"" ]"
defiance;5;2;Tss5078;"[ ""Defiance is the real life story of the Bielski brothers, who during WWII in Belarus, saved and protected 1200 fellow Jews from the Nazis. The Bielski's never sought recognition for what they did, however the descendents of the people they saved now number in the tens of thousands. The story is truly inspiring, as for the movie, it moved very slowly and like all war stories, was much too long. You quickly see that the story repeats itself over and over again. The film starts off very strong and than just flat-lines. It's a shame, because it's a great cast and an inspiring, relatively unknown story, but it just doesn't go anywhere."" ]"
push;8;5;Tss5078;"[ ""WOW! This is a good movie, very entertaining, with lots of action! The storyline was a bit confusing at times thou, and it was left wide open as if a sequel is a given. Weather they do eventually make one or not is irrelevant. As of right now, I'm left wondering what happens, feeling like I'm missing a part of the story, and craving more!"" ]"
the-midnight-meat-train;4;1;Tss5078;[]
the-dark-knight;10;7;Tss5078;"[ ""Regular readers of this blog know that I don't like super heroes, but Batman is the exception. As a kid he was the only one I thought was cool and the only one that i felt could be real. Apparently Christopher Nolan has the same idea. What I love about his take on Batman is that it's very realistic. Even the joker, as out there as he maybe, was a much more believable and realistic villain than the portrait by Jack Nicholson. As for the movie, it's an amazing story, with one of the best performances ever, by the late Heath Ledger who I really couldn't stand until this movie! As with all Nolan movies, it's a very visually appealing film, with a great story, and cast perfectly. I can honestly say that this is as good as it gets! There will never be a better Batman or super hero movie."" ]"
traitor;10;7;Tss5078;"[ ""Traitor is a truly can't miss movie, that gives you a perspective on terrorism from both sides. Don Cheadle continues to be one of the best and most underrated actors in Hollywood. This movie was amazing! It wasn't just another shoot 'em up action nightmare. It has a great story, I really connected with the characters, and I kept finding myself surprised at every turn, not knowing what was coming next."" ]"
the-ruins;7;4;Tss5078;"[ ""Based on one of the best selling graphic novels of all-time, The Ruins, has a lot to like, and a lot to dislike. Following the classic horror movie format, there is a ton of eye candy and gore, always a good thing. The plot isn't very strong thou. It was a great book and there was a lot to go on, but sadly the movie ignores it. You see a lot of things, but unlike the book, nothing is really explained. This movie is all visual. They focus almost entirely on the gore, and not the story, making The Ruins just another typical horror movie. A good horror movie mixes a truly scary story, with shock, awe, and beautiful people. That's the formula, and while The Ruins should have been all those things, it really wasn't."" ]"
bankjob;7;4;Tss5078;"[ ""The Bank Job is a good movie based on the legendary 1971 London bank heist. While I enjoyed the fast paced action this film offers, it jumps around so much and so fast, that it's pretty hard to keep up with. I found myself quite confused at many different points in the film, especially at the end, when I had to rewind 3 or 4 times. Jason Statham is far and away the top action star out there today. What's so great about him falling under the radar is that he gets to do what he wants to do, instead of getting stuck with nothing but big budget disasters with no plot. The story behind The Bank Job and what led up to it, who was really involved in, was really interesting and made for a great plot. The constant jumping from place to place made for a confusing film, that while good, wasn't nearly what it should have been."" ]"
the-air-i-breathe;8;5;Tss5078;"[ ""I really didn't expect to like this movie as much as I did, after all several critics had refereed to is as a tame re-packaging of Pulp Fiction. The film is broken up into four parts that are out of order, and the characters all do eventually interact, there is also a mafia angle to the film, but overall besides the way things were laid out, I didn't really draw much of a comparison to Pulp Fiction. The stories all involve these peoples interactions with the mob, but they're all for different reasons and all have different outcomes. Andy Garcia is the boss, of course, always the perfect choice for a gangster or ruthless leader, and you get from him what's expected. What isn't expected is the tremendous performance of Brendan Fraser. I am not a fan and have never really considered him anything but a mediocre comedic actor, but after seeing The Air I Breathe, my opinion of him was definitely swayed. While watching the pieces, I knew they would somehow come together, but the way it was done was completely unpredictable and really something to watch. The film had a huge cast, with a ton of cameos, and just as many twists and turns. What I was expecting was far different from what I saw and I was more than happy with the way the film was done. I think if the film had been done in the traditional model of storytelling, it wouldn't have had as big of an impact."" ]"
the-great-debaters;10;7;Tss5078;"[ ""The Great Debaters is another inspirational tale of the oppressed, but unlike most, this film has the distinction of being pretty close to historically accurate. I was hesitant to see this film, because who wants to watch a film about a debate team? Denzel Washington, however, happens to be one of my favorite actors, so I gave it a shot and learned quite a bit. The debate team was just an instrument, and was comprised of four people who would all go on to play significant roles in the Civil Rights Movement. The films follows award winning author, Melvin Tolson (Washington), on his journey to create the best African-American College debate team in the country, a team that would eventually go on to challenge the debate team at Harvard University. Everything about this movie was extremely powerful and well done. From the language to the graphic imagery to the story and the performances I was completely blown away by this film. I went into it thinking, if it's bad I'll turn if off after a half-hour. Now, I'm thinking about watching it again tomorrow. This is the way historical films should be done, The Great Debaters was fair, accurate, and just a great film!"" ]"
walk-hard-the-dewey-cox-story;6;3;Tss5078;"[ ""I'm not a fan of farces, and to be honest, I'm not that crazy about John C. Reilly, but one thing you can be sure of, is that when I see Judd Apatow's name attached to something, I'll eventually see it. Walk Hard is a mocumentary about an Elvis Presley type persona, whose music spanned an evolved over a 50 year career. As styles changed, so did Dewey Cox, his outfits, personality, and his music, it was all very clever. I especially liked when he ran into the Beatles at a monastery in India. Walk Hard has some very funny moments, but this film would be nothing without John C. Reilly. It seems like he's in everything these days and most of the roles are quite forgettable, but Dewey Cox is easily his crowning achievement. Reilly is an actor I don't care for, in a style of film I don't care for, yet I was still very amused by the whole thing. The one negative I can give the film, is that is was exceptionally long for this type of film and it spent far too much time on the early stages of his life. The end of the film felt rushed to avoid it becoming a three hour movie, which to me suggests that maybe it should have been split in two. The inherit problem with comedies is that the longer they are, the more tiresome they become. While I enjoyed the first half of the movie a lot, by the end I really couldn't wait for it to end. Farcical comedies are usually way out there and Walk Hard has some of that, but by and large it was an interesting take on fifty years of American pop culture. The film and it's star far exceeded my expectations and for what it was, I was impressed."" ]"
the-simpsons-movie;6;3;Tss5078;"[ ""Many fans of The Simpsons Movie were very critical of it. While I understand why, the fact is that many of them just don't realize that this film wasn't made for them. Criticism range from the film not being edgy enough, to the fact that the film didn't take place in Springfield and didn't utilize the side characters much, but again, the film wasn't meant for the die hard Simpsons fan. While the show has been on for more than a quarter century, prior to the films release, ratings for the show were in the toilet, and it was only being kept alive by syndication and merchandising money. The point of the film was to be childish and geared towards a younger audience. While fans of the show were expecting the film to be extreme like the South Park movie, what they got amounted to little more than a children's movie. The fans were upset, but the studios gamble paid off, as the ratings went up and have continued to be much better. For those who didn't see it, the film focuses on Homer, who made the mistake of polluting the town, to a point where the EPA put a big dome over Springfield to separate it from the rest of the country. As angry town folks form a mob, intent on getting Homer, the family escapes and goes on the run. The film is far from being the best the Simpsons has to offer, but it served it's purpose in attracting younger viewers and raising the ratings. Fans may have been upset with Matt Groening, but what he did saved the show for who knows how many future seasons. The film isn't spectacular, but it was good for introducing new fans to the characters we all know and love."" ]"
28-weeks-later;4;1;Tss5078;"[ ""In 2002, Director, Danny Boyle re-invented the zombie movie with his groundbreaking film 28 Days Later. Many credit Boyle with the current zombie craze we enjoy eleven years later. What made that film so enjoyable was that at the time it was a story we hadn't seen in a long time and it was shot in a way that made it look like a much older film than it was. Five years later the studio wanted a sequel and Boyle wanted no part of it, knowing that it would never live up to the original and indeed it does not. 28 Weeks Later is a continuation of the story, which claims that all the infected had starved to death and that England is free of infection once again. People start moving back in to areas of the country that have been fixed up for them and which are protected by the U.S. Government. We are then introduced to a family which has been reunited. The film starts out with a tremendous action scene that was the only part of the film I enjoyed and the only part that is reminiscent of the first film. The terrific opening is followed by a long, sappy, family reunion and then by a sick person being found. From that point, literally within ten minutes hundreds of people are infected and the army is shooting everything in sight. How could zombies have starved in the first place, but more importantly how can so many people change, just like that, within ten minutes? It didn't make any sense at all, to make things worse, all dialogue and storyline ends at that point and the movie turns into one big gory chase scene without any substance whatsoever. As for the cast of this film, they did nothing to help the story. In the first film, Cillian Murphy was amazing and carried us through the low points, but here it's a cast of newcomers and unsuccessful character actors, who quickly bring the story to a halt. I was looking forward to seeing this film, but not only doesn't it compare to the first film, but it doesn't even live up to the broad genre it is exposing us to. The cast was sloppy, the direction was confusing, and worst of all it just doesn't make any  sense! 28 Days Later was groundbreaking, but it's sequel is nothing more than an over-hyped movie that never should have been made."" ]"
the-invisible;8;5;Tss5078;"[ ""A wise ass kid is severely beaten and left for dead in the woods. While comatose, he leaves his body, in order to convince those responsible to do the right thing and save his life. What a bold and unique concept and it plays out to a terrific surprise ending. I saw this one a while ago, but it's defiantly on the top 10 list for 2007. What I really loved about it, was that it was something I'd never seen before and crossed genres. Technically it's Science Fiction, but there is also a lot of Drama, Romance, and even Comedy. Justin Chatwin, I've seen him in a few things before this and he was terrible. I mean so bad that I almost skipped this movie because he had the lead. I didn't skip this and it paid off because he was awesome in it and has been good in everything I've seen him in since. This one's a keeper, defiantly check it out!"" ]"
hostel-part-ii;6;3;Tss5078;"[ ""Hostel: Part II leaves off at almost the exact point the first one ends and has an awesome opening scene. Last time it was the boys, this time the girls go on vacation. Once again I loved the gore and the scary story, however this ends quite differently from the first one, and too be honest I really didn't like what they did. If this is indeed just a continuation of the story of the hostel, then they could have done a lot better job closing it out. The rushed, lazy ending really left me with a bad taste in mouth. For the most part thou, Hostel: Part II is every bit as scary and disgusting as the first. If you liked the first one, you'll like this one too."" ]"
disturbia;9;6;Tss5078;"[ ""Disturbia is a remake of Alfred  classic, Rear Window. When there is 50+ years in-between the original and the re-make you know it's going to be so different, that they are hardly the same movie anymore. The only similarity in fact, is spying on a neighbor whom the lead suspects is a serial killer. Shia LaBeouf shines in what is his first major leading role. Right from the beginning you can see how likeable he is on film, destine for stardom. David Morse is also great as the neighbor. Morse is always very intense and makes every movie he is in that much better, he is an extremely underrated supporting actor. The story is strong, the cast is strong, and I can guarantee you will be on the edge of your seat, this is a good one!"" ]"
unaccompanied-minors;7;4;Tss5078;"[ ""For decades, A Christmas Carol and It's A Wonderful Life have been the standard templates for holiday films, until a third choice came along in 1990. Ever since, there have been a whole slew of films that have tried to be the next Home Alone. None have come close to being as good, but perhaps the best attempt came from Unaccompanied Minors. The Davenport kids are flying to seeing their father for the holidays when they are stuck in Cleveland by a massive snow storm. When they get there, they discover they are just two of dozens of kids who are stuck at the same airport, trapped in a conference room under the watchful eye of the airports ruthless administrator, (Lewis Black) who's not all that fond of children. Together with some of the more unique personalities, the Davenports stage an escape and wreck havoc on the airport, determined to have fun during the holidays, even if it is in a snowed in airport. Yes, this is a kids movie with all the cheesy jokes and kid stuff that comes along with it, but what makes it unique is all the different personalities. The six kids are from all different parts of the country and are all from different family structures and different socioeconomic backgrounds, meaning they all had very different lives and very different ideas on what the definition of fun is. The culmination of the different personalities and how they all come together is what makes this film unique and quite frankly pretty special. The young cast is pretty talented as well, featuring Brett Kelly from Bad Santa as well as Tyler Williams from Everybody Hates Chris. The young cast also gets help from veteran comedians Lewis Black, Wilmer Valderrama, and Rob Corddry. The combination of young comedians and veteran comedians adds another dynamic similar to the one set up by the characters in the film. As well as the mixing of characters personalities, you're also getting a wide variety of comedic styles in the film. The bottom line, Unaccompanied Minors may be a kids Christmas movie, but there is a whole lot to like about it, from the writing, to the in depth character development, the mixing of different comedic styles, and even the unique settings. It's not quite Home Alone, but as close as anyone's come since 1990."" ]"
black-snake-moan;4;1;Tss5078;"[ ""Samuel L. Jackson is legendary and he has the unique ability to turn even a strange movie like this, into something that is worth watching. Black Snake Moan is a really ridiculous story, full of odd symbolism that just really doesn't make any sense. Jackson plays Lazarus, a loner who lives on a farm in the middle of nowhere. He's a deeply religious man, whose wife just left him for his brother. Lazarus responded to this by locking himself away and putting all he has into his farm. One morning he finds a badly beaten girl, with a reputation, laying in the road and decides to help her, but he soon comes to believe that this girl is possessed and that God sent her too him for help. Not knowing what to do, Lazarus takes this sex crazed, drug addict and chains her to the wall of his house. Throughout this film, there are all kinds of symbols that don't make any sense. There are scenes featuring an old blues singer talking nonsense, scenes of the town that we almost never see, and perhaps strangest of all, there are moles added to Jackson's face, something you don't see except it cases of a biography. As for the performances, they were terrific, This is the best performance I've ever seen Christina Ricci give and she really gave Jackson a run for his money. Jackson, was also great, giving what you expect to see from him, albeit with less swearing than usual. The performances were really the only thing this film did have going for it as the events that take place just don't make any sense. The film jumps around, leaving things unfinished, and personalities seem to change as often as the wind blows. It's a pet peeve of mine, but I really hate when great performances are wasted on a film that is so poorly written, that it's almost unwatchable. Black Snake Moan is sloppy, jumps around without finishing things, and at times just doesn't make sense. It was an interesting idea with a terrific cast, but the people behind it were clearly in way over their head and just didn't really seem to know where they were going or even what they were doing."" ]"
shooter;10;7;Tss5078;"[ ""From the Funky Bunch to action movie star, it's been a long road for Mark Wahlberg. A long road filled with a lot of bad movies, but in recent years he has finally mastered his craft and Shooter is the crown jewel. This is the perfect action movie! A GREAT story, several plot twists, and lots of explosions. Wahlberg was the perfect choice to play Swagger and really brings to life the best intended parts of his character. This is an absolute can't miss movie for action fans. I was truly in awe!"" ]"
breach;7;4;Tss5078;"[ ""Breach is a movie based on actual events, in which a rookie FBI agent goes undercover to find a Russian spy inside the U.S. Government. While the story is a good one, the film moves VERY slowly. In the end, it's pretty awesome what this agent did and what he was able to find. The story could have been told in a different way thou, one that would have kept the audiences attention better. It's a good story with a couple of great performances, but its not easy to sit through."" ]"
hannibal-rising;7;4;Tss5078;"[ ""Contrary to popular belief, this movie is not about Anthony Hopkins experimenting with Viagra. In fact, the man who made Hannibal Lecter a household name, doesn't so much as have a cameo in this film. Hannibal Rising takes the story to where it's never been before, back to the beginning. We see a young Hannibal in Europe, during WWII, and we learn how he grew into the monster he became. What made this different from the other Lecter films, was that Hannibal is seen as a good guy for much of the film, just out seeking revenge. French film star Gaspard Ulliel is fantastic in his first American film and was the perfect choice to play a young lecter. As a fan of the film franchise, I found this movie fascinating, but as an outsider I can see how some people would find it a bit long and slow."" ]"
bridge-to-terabithia;9;6;Tss5078;"[ ""Bridge To Terabithia is one of my all time favorite fairy tales and when I heard they were making it into a movie, I was very excited. When I heard it was Disney doing it, I was modified. Disney has a way of taking classic tales and distorting them into happy, loving, little stories that completely ignore the underlying issues, but with Bridge To Terabithia they didn't do that. This movie was fantastic and every bit as impactful as the original story. The young leads are terrific, the movie is visually appealing, and the story is left virtually untouched. This is a good one!"" ]"
hot-fuzz;7;4;Tss5078;"[ ""The comedic duo of Simon Pegg and Nick Frost are changing the way people view British comedy. For decades, the Brits have been far behind us, featuring the dry, the peculiar, the tedious, and worst of all, Monty Python. Ten years ago, I wouldn't see a British comedy if you paid me, but now, all I need is to see this duo involved and I'm there! Hot Fuzz was the duos follow up to the wildly successful Shaun of The Dead, and while it doesn't compare to that film, it is still a really funny movie. The film features Simon Pegg as London's toughest cop, who is unwillingly transferred to a small town in the country. Paired with an idiot, he's about to die of boredom, and starts looking into the towns history of mysterious accidents, only to discover a pattern. Once Pegg has the scent, he's on the trail of a long running town secret, one that is ridiculous yet hilarious. Unlike Shaun of The Dead, the story here isn't as cut and dry. It requires some background and does take quite a while to get going. Unlike any of their other films, previously or since, the duo decided to pack all the fun into the last half hour of the film. Hot Fuzz certainly has it's moments, but it's the last half hour that makes it a classic. Simon Pegg plays the serious one for a change, leaving much of the laughs up to Nick Frost who certainly doesn't disappoint. Personally, I prefer Pegg over Frost and would have liked to see his character loosen up a little bit, but it doesn't really take anything away from the story. The first half hour of this film, you're going to think I'm crazy, but by the last half hour, you'll be thanking me for recommending you see this film. It is a must for fans of buddy comedies and it just might force you to watch Shaun of The Dead again."" ]"
casino-royale;7;4;Tss5078;"[ ""I've never been a fan of James Bond. Probably, because I grew up with Pierce Brosnan as 007 and he sucked. I decide to give the series another shot, not because of Bond, but rather Daniel Craig. I have been a fan of Craig's for some time, having seen several of the films from overseas. I knew then that he would be a huge action star and now he's 007. As for my first Bond movie, it was pretty good. Craig was fantastic and avoided much of the cliché Bond moments that most of us have come to loath. The film was entertaining, but also pretty predictable and much longer than it needed to be. I was also very unimpressed by the bad guys. I thought Bond villains were supposed to be classic, but these guys were rather forgettable. I'm not in love with the Bond character, but this film did open my eyes a little bit and I probably will check out Quantum of Solace in the near future."" ]"
snakes-on-a-plane;7;4;Tss5078;"[ ""What I really like about this film is that FINALLY, the people involved realize how absurd the plot of the movie is, and they completely play into it. They say and do the same things that most of us would do in that situation. They fully understand, that even thou it isn't a comedy, they are in a completely ridiculous film, not meant to be taken seriously by anyone. Samuel L. Jackson is fearless, hysterical, and terrific as FBI Agent Neville Flynn. The supporting cast, of mostly newcomers, is also great, playing off the example set by Jackson and Margulies. Lets also not forget that while many of the attack scenarios were computerized, there were still a few dozen de-fanged venomous snakes with them at all times! I don't know how you can possibly concentrate with cobras and rattlesnakes at your feet, even if they are non-venomous and used to humans. If you're looking for something simple and stupid that you don't have to think about, go for Snakes on a Plane!"" ]"
the-prestige;8;5;Tss5078;"[ ""The Prestige is vintage Christopher Nolan. A dark, twisted, visually appealing story. I enjoyed this movie a lot, but I must admit, for most of it, I had no idea what was happening. It was a cool story, about two rival magicians trying to discredit one another. While I enjoyed what I was seeing, the story just twisted and turned in ways I couldn't really follow. I know I loved watching it, but afterwards I was still like what the hell? The ending was the most confusing part, not real sure what happened there, maybe one day I'll get it. This film had the star power, one of Hollywood's best directors, and a unique story, but it's going to be hard for a lot of people to follow. I've seen 1000's of films, and it's not often that I get to say, I didn't really get it, especially with something I enjoyed, but I guess Christopher Nolan will do that to ya!"" ]"
another-gay-movie;4;1;Tss5078;"[ ""Ok... Leave your joke in the comment box, I'm sure it's hilarious. As for this movie, it WAS hilarious... at first... but it quickly got old. Its about four gay friends, the summer before college, on a mission to get laid. Along the way they meet their fair share of weird characters and it's pretty much the same as 1000 other coming of age teen comedies, except for the gay part... This movie has some really funny parts, especially the interaction with the lesbians, THAT was classic! Unfortunately, they continue focusing on the one subject, and the jokes just stop being funny after about twenty minutes or so. It's a cool idea, it's a gutsy film to make, and I give praise to everyone brave enough to be a part of it. It probably would have been good if it wasn't so narrow-minded."" ]"
stay-alive;5;2;Tss5078;"[ ""Stay Alive was decent, it was a unique story but still fairly predictable. It lacked a lot of the eye candy and cheesy jokes you expect in this type of film. I think the director was expecting people to take this seriously, but it's far from being the exorcist."" ]"
poseidon;8;5;Tss5078;"[ ""Every bit as dramatic and action packed as the original. All it's lacking is the character development the original had, which is more than made up for by the special effects. Very entertaining edge of your seat movie, every bit as good as the original."" ]"
